domain, fname, pname
FreeCell, pfile1, FreeCell2-4
FreeCell, pfile10, FreeCell9-4
FreeCell, pfile11, FreeCell9-4
FreeCell, pfile12, FreeCell9-4
FreeCell, pfile13, FreeCell10-4
FreeCell, pfile14, FreeCell10-4
FreeCell, pfile15, FreeCell11-4
FreeCell, pfile16, FreeCell11-4
FreeCell, pfile17, FreeCell12-4
FreeCell, pfile18, FreeCell12-4
FreeCell, pfile19, FreeCell13-4
FreeCell, pfile2, FreeCell3-4
FreeCell, pfile20, FreeCell13-4
FreeCell, pfile3, FreeCell4-4
FreeCell, pfile4, FreeCell5-4
FreeCell, pfile5, FreeCell6-4
FreeCell, pfile6, FreeCell7-4
FreeCell, pfile7, FreeCell7-4
FreeCell, pfile8, FreeCell8-4
FreeCell, pfile9, FreeCell8-4
Rovers, pfile1, roverprob1234
Rovers, pfile10, roverprob8271
Rovers, pfile11, roverprob7126
Rovers, pfile12, roverprob5146
Rovers, pfile13, roverprob6152
Rovers, pfile14, roverprob1425
Rovers, pfile15, roverprob4135
Rovers, pfile16, roverprob5142
Rovers, pfile17, roverprob5624
Rovers, pfile18, roverprob4621
Rovers, pfile19, roverprob8327
Rovers, pfile2, roverprob4213
Rovers, pfile20, roverprob7182
Rovers, pfile3, roverprob3726
Rovers, pfile4, roverprob6232
Rovers, pfile5, roverprob2435
Rovers, pfile6, roverprob2312
Rovers, pfile7, roverprob4123
Rovers, pfile8, roverprob1423
Rovers, pfile9, roverprob4132
Rovers, upfile1, roverprob7692
Rovers, upfile10, roverprob2435
Rovers, upfile11, roverprob1243
Rovers, upfile12, roverprob2413
Rovers, upfile13, roverprob5142
Rovers, upfile14, roverprob1234
Rovers, upfile15, roverprob3652
Rovers, upfile16, roverprob3965
Rovers, upfile17, roverprob7652
Rovers, upfile18, roverprob7182
Rovers, upfile19, roverprob3549
Rovers, upfile2, roverprob1628
Rovers, upfile20, roverprob5621
Rovers, upfile3, roverprob6283
Rovers, upfile4, roverprob1928
Rovers, upfile5, roverprob5783
Rovers, upfile6, roverprob9265
Rovers, upfile7, roverprob5146
Rovers, upfile8, roverprob6523
Rovers, upfile9, roverprob5127
Satellite, pfile1, strips-sat-x-1
Satellite, pfile10, strips-sat-x-10
Satellite, pfile11, strips-sat-x-11
Satellite, pfile12, strips-sat-x-12
Satellite, pfile13, strips-sat-x-13
Satellite, pfile14, strips-sat-x-14
Satellite, pfile15, strips-sat-x-15
Satellite, pfile16, strips-sat-x-16
Satellite, pfile17, strips-sat-x-17
Satellite, pfile18, strips-sat-x-18
Satellite, pfile19, strips-sat-x-19
Satellite, pfile2, strips-sat-x-2
Satellite, pfile20, strips-sat-x-20
Satellite, pfile3, strips-sat-x-3
Satellite, pfile4, strips-sat-x-4
Satellite, pfile5, strips-sat-x-5
Satellite, pfile6, strips-sat-x-6
Satellite, pfile7, strips-sat-x-7
Satellite, pfile8, strips-sat-x-8
Satellite, pfile9, strips-sat-x-9
Satellite, upfile1, strips-sat-u-1
Satellite, upfile10, strips-sat-u-10
Satellite, upfile11, strips-sat-u-11
Satellite, upfile12, strips-sat-u-12
Satellite, upfile13, strips-sat-u-13
Satellite, upfile14, strips-sat-u-14
Satellite, upfile15, strips-sat-u-15
Satellite, upfile16, strips-sat-u-16
Satellite, upfile2, strips-sat-u-2
Satellite, upfile3, strips-sat-u-3
Satellite, upfile4, strips-sat-u-4
Satellite, upfile5, strips-sat-u-5
Satellite, upfile6, strips-sat-u-6
Satellite, upfile7, strips-sat-u-7
Satellite, upfile8, strips-sat-u-8
Satellite, upfile9, strips-sat-u-9
UMT2, pfile1, problem0
UMT2, pfile10, problem4
UMT2, pfile11, problem0
UMT2, pfile12, problem1
UMT2, pfile13, problem2
UMT2, pfile14, problem3
UMT2, pfile15, problem4
UMT2, pfile2, problem1
UMT2, pfile3, problem2
UMT2, pfile4, problem3
UMT2, pfile5, problem4
UMT2, pfile6, problem0
UMT2, pfile7, problem1
UMT2, pfile8, problem2
UMT2, pfile9, problem3
ZenoTravel, upfile1, ZTRAVEL-5-20
ZenoTravel, upfile10, ZTRAVEL-5-60
ZenoTravel, upfile11, ZTRAVEL-5-60
ZenoTravel, upfile12, ZTRAVEL-5-60
ZenoTravel, upfile13, ZTRAVEL-5-60
ZenoTravel, upfile14, ZTRAVEL-5-60
ZenoTravel, upfile15, ZTRAVEL-10-70
ZenoTravel, upfile16, ZTRAVEL-15-70
ZenoTravel, upfile17, ZTRAVEL-20-70
ZenoTravel, upfile18, ZTRAVEL-25-70
ZenoTravel, upfile19, ZTRAVEL-30-70
ZenoTravel, upfile2, ZTRAVEL-5-30
ZenoTravel, upfile20, ZTRAVEL-35-70
ZenoTravel, upfile3, ZTRAVEL-5-40
ZenoTravel, upfile4, ZTRAVEL-5-50
ZenoTravel, upfile5, ZTRAVEL-5-60
ZenoTravel, upfile6, ZTRAVEL-5-70
ZenoTravel, upfile7, ZTRAVEL-5-80
ZenoTravel, upfile8, ZTRAVEL-5-90
ZenoTravel, upfile9, ZTRAVEL-5-100
ZenoTravel, pfile1, ZTRAVEL-1-2
ZenoTravel, pfile10, ZTRAVEL-3-8
ZenoTravel, pfile11, ZTRAVEL-3-7
ZenoTravel, pfile12, ZTRAVEL-3-8
ZenoTravel, pfile13, ZTRAVEL-3-10
ZenoTravel, pfile14, ZTRAVEL-5-10
ZenoTravel, pfile15, ZTRAVEL-5-15
ZenoTravel, pfile16, ZTRAVEL-5-15
ZenoTravel, pfile17, ZTRAVEL-5-20
ZenoTravel, pfile18, ZTRAVEL-5-20
ZenoTravel, pfile19, ZTRAVEL-5-25
ZenoTravel, pfile2, ZTRAVEL-1-3
ZenoTravel, pfile20, ZTRAVEL-5-25
ZenoTravel, pfile3, ZTRAVEL-2-4
ZenoTravel, pfile4, ZTRAVEL-2-5
ZenoTravel, pfile5, ZTRAVEL-2-4
ZenoTravel, pfile6, ZTRAVEL-2-5
ZenoTravel, pfile7, ZTRAVEL-2-6
ZenoTravel, pfile8, ZTRAVEL-3-6
ZenoTravel, pfile9, ZTRAVEL-3-7
