assem-x-1, prob01.pddl, assem-x-1
strips-gripper-x-16, prob16.pddl, strips-gripper-x-16
strips-gripper-x-17, prob17.pddl, strips-gripper-x-17
strips-gripper-x-18, prob18.pddl, strips-gripper-x-18
strips-gripper-x-19, prob19.pddl, strips-gripper-x-19
strips-gripper-x-20, prob20.pddl, strips-gripper-x-20
strips-log-x-1, prob01.pddl, strips-log-x-1
strips-log-x-2, prob02.pddl, strips-log-x-2
strips-log-x-3, prob03.pddl, strips-log-x-3
strips-log-x-4, prob04.pddl, strips-log-x-4
strips-log-x-5, prob05.pddl, strips-log-x-5
strips-log-x-6, prob06.pddl, strips-log-x-6
strips-log-x-7, prob07.pddl, strips-log-x-7
strips-log-x-8, prob08.pddl, strips-log-x-8
strips-log-x-9, prob09.pddl, strips-log-x-9
strips-log-x-10, prob10.pddl, strips-log-x-10
strips-log-x-11, prob11.pddl, strips-log-x-11
strips-log-x-12, prob12.pddl, strips-log-x-12
strips-log-x-13, prob13.pddl, strips-log-x-13
strips-log-x-14, prob14.pddl, strips-log-x-14
strips-log-x-15, prob15.pddl, strips-log-x-15
strips-log-x-16, prob16.pddl, strips-log-x-16
strips-log-x-17, prob17.pddl, strips-log-x-17
strips-log-x-18, prob18.pddl, strips-log-x-18
strips-log-x-19, prob19.pddl, strips-log-x-19
strips-log-x-20, prob20.pddl, strips-log-x-20
strips-log-x-21, prob21.pddl, strips-log-x-21
strips-log-x-22, prob22.pddl, strips-log-x-22
strips-log-x-23, prob23.pddl, strips-log-x-23
strips-log-x-24, prob24.pddl, strips-log-x-24
strips-log-x-25, prob25.pddl, strips-log-x-25
strips-log-x-26, prob26.pddl, strips-log-x-26
strips-log-x-27, prob27.pddl, strips-log-x-27
strips-log-x-28, prob28.pddl, strips-log-x-28
strips-log-x-29, prob29.pddl, strips-log-x-29
strips-log-x-30, prob30.pddl, strips-log-x-30
strips-log-y-1, prob31.pddl, strips-log-y-1
strips-log-y-2, prob32.pddl, strips-log-y-2
strips-log-y-3, prob33.pddl, strips-log-y-3
strips-log-y-4, prob34.pddl, strips-log-y-4
strips-log-y-5, prob35.pddl, strips-log-y-5
strips-movie-x-1, prob01.pddl, strips-movie-x-1
strips-movie-x-2, prob02.pddl, strips-movie-x-2
strips-movie-x-3, prob03.pddl, strips-movie-x-3
strips-movie-x-4, prob04.pddl, strips-movie-x-4
strips-movie-x-5, prob05.pddl, strips-movie-x-5
strips-movie-x-6, prob06.pddl, strips-movie-x-6
strips-movie-x-7, prob07.pddl, strips-movie-x-7
strips-movie-x-8, prob08.pddl, strips-movie-x-8
strips-movie-x-9, prob09.pddl, strips-movie-x-9
strips-movie-x-10, prob10.pddl, strips-movie-x-10
strips-movie-x-11, prob11.pddl, strips-movie-x-11
strips-movie-x-12, prob12.pddl, strips-movie-x-12
strips-movie-x-13, prob13.pddl, strips-movie-x-13
strips-movie-x-14, prob14.pddl, strips-movie-x-14
strips-movie-x-15, prob15.pddl, strips-movie-x-15
strips-movie-x-16, prob16.pddl, strips-movie-x-16
strips-movie-x-17, prob17.pddl, strips-movie-x-17
strips-movie-x-18, prob18.pddl, strips-movie-x-18
strips-movie-x-19, prob19.pddl, strips-movie-x-19
strips-movie-x-20, prob20.pddl, strips-movie-x-20
strips-movie-x-21, prob21.pddl, strips-movie-x-21
strips-movie-x-22, prob22.pddl, strips-movie-x-22
strips-movie-x-23, prob23.pddl, strips-movie-x-23
strips-movie-x-24, prob24.pddl, strips-movie-x-24
strips-movie-x-25, prob25.pddl, strips-movie-x-25
strips-movie-x-26, prob26.pddl, strips-movie-x-26
strips-movie-x-27, prob27.pddl, strips-movie-x-27
strips-movie-x-28, prob28.pddl, strips-movie-x-28
strips-movie-x-29, prob29.pddl, strips-movie-x-29
strips-movie-x-30, prob30.pddl, strips-movie-x-30
strips-mprime-x-1, prob01.pddl, strips-mprime-x-1
strips-mprime-x-2, prob02.pddl, strips-mprime-x-2
strips-mprime-x-3, prob03.pddl, strips-mprime-x-3
strips-mprime-x-4, prob04.pddl, strips-mprime-x-4
strips-mprime-x-5, prob05.pddl, strips-mprime-x-5
strips-mprime-x-6, prob06.pddl, strips-mprime-x-6
strips-mprime-x-7, prob07.pddl, strips-mprime-x-7
strips-mprime-x-8, prob08.pddl, strips-mprime-x-8
strips-mprime-x-9, prob09.pddl, strips-mprime-x-9
strips-mprime-x-10, prob10.pddl, strips-mprime-x-10
strips-mprime-x-11, prob11.pddl, strips-mprime-x-11
strips-mprime-x-12, prob12.pddl, strips-mprime-x-12
strips-mprime-x-13, prob13.pddl, strips-mprime-x-13
strips-mprime-x-14, prob14.pddl, strips-mprime-x-14
strips-mprime-x-15, prob15.pddl, strips-mprime-x-15
strips-mprime-x-16, prob16.pddl, strips-mprime-x-16
strips-mprime-x-17, prob17.pddl, strips-mprime-x-17
strips-mprime-x-18, prob18.pddl, strips-mprime-x-18
strips-mprime-x-19, prob19.pddl, strips-mprime-x-19
strips-mprime-x-20, prob20.pddl, strips-mprime-x-20
strips-mprime-x-21, prob21.pddl, strips-mprime-x-21
strips-mprime-x-22, prob22.pddl, strips-mprime-x-22
strips-mprime-x-23, prob23.pddl, strips-mprime-x-23
strips-mprime-x-24, prob24.pddl, strips-mprime-x-24
strips-mprime-x-25, prob25.pddl, strips-mprime-x-25
strips-mprime-x-26, prob26.pddl, strips-mprime-x-26
strips-mprime-x-27, prob27.pddl, strips-mprime-x-27
strips-mprime-x-28, prob28.pddl, strips-mprime-x-28
strips-mprime-x-29, prob29.pddl, strips-mprime-x-29
strips-mprime-x-30, prob30.pddl, strips-mprime-x-30
strips-mprime-y-1, prob31.pddl, strips-mprime-y-1
strips-mprime-y-2, prob32.pddl, strips-mprime-y-2
strips-mprime-y-3, prob33.pddl, strips-mprime-y-3
strips-mprime-y-4, prob34.pddl, strips-mprime-y-4
strips-mprime-y-5, prob35.pddl, strips-mprime-y-5
strips-mysty-x-1, prob01.pddl, strips-mysty-x-1
strips-mysty-x-2, prob02.pddl, strips-mysty-x-2
strips-mysty-x-3, prob03.pddl, strips-mysty-x-3
strips-mysty-x-4, prob04.pddl, strips-mysty-x-4
strips-mysty-x-5, prob05.pddl, strips-mysty-x-5
strips-mysty-x-6, prob06.pddl, strips-mysty-x-6
strips-mysty-x-7, prob07.pddl, strips-mysty-x-7
strips-mysty-x-8, prob08.pddl, strips-mysty-x-8
strips-mysty-x-9, prob09.pddl, strips-mysty-x-9
strips-mysty-x-10, prob10.pddl, strips-mysty-x-10
strips-mysty-x-11, prob11.pddl, strips-mysty-x-11
strips-mysty-x-12, prob12.pddl, strips-mysty-x-12
strips-mysty-x-13, prob13.pddl, strips-mysty-x-13
strips-mysty-x-14, prob14.pddl, strips-mysty-x-14
strips-mysty-x-15, prob15.pddl, strips-mysty-x-15
strips-mysty-x-16, prob16.pddl, strips-mysty-x-16
strips-mysty-x-17, prob17.pddl, strips-mysty-x-17
strips-mysty-x-18, prob18.pddl, strips-mysty-x-18
strips-mysty-x-19, prob19.pddl, strips-mysty-x-19
strips-mysty-x-20, prob20.pddl, strips-mysty-x-20
strips-mysty-x-21, prob21.pddl, strips-mysty-x-21
strips-mysty-x-22, prob22.pddl, strips-mysty-x-22
strips-mysty-x-23, prob23.pddl, strips-mysty-x-23
strips-mysty-x-24, prob24.pddl, strips-mysty-x-24
strips-mysty-x-25, prob25.pddl, strips-mysty-x-25
strips-mysty-x-26, prob26.pddl, strips-mysty-x-26
strips-mysty-x-27, prob27.pddl, strips-mysty-x-27
strips-mysty-x-28, prob28.pddl, strips-mysty-x-28
strips-mysty-x-29, prob29.pddl, strips-mysty-x-29
strips-mysty-x-30, prob30.pddl, strips-mysty-x-30
blocks-17-0, probblocks-17-0.pddl, blocks-17-0
blocks-17-1, probblocks-17-1.pddl, blocks-17-1
blocks-18-0, probblocks-18-0.pddl, blocks-18-0
blocks-18-1, probblocks-18-1.pddl, blocks-18-1
blocks-19-0, probblocks-19-0.pddl, blocks-19-0
blocks-19-1, probblocks-19-1.pddl, blocks-19-1
blocks-20-0, probblocks-20-0.pddl, blocks-20-0
blocks-20-1, probblocks-20-1.pddl, blocks-20-1
blocks-21-0, probblocks-21-0.pddl, blocks-21-0
blocks-21-1, probblocks-21-1.pddl, blocks-21-1
blocks-22-0, probblocks-22-0.pddl, blocks-22-0
blocks-22-1, probblocks-22-1.pddl, blocks-22-1
blocks-23-0, probblocks-23-0.pddl, blocks-23-0
blocks-23-1, probblocks-23-1.pddl, blocks-23-1
blocks-24-0, probblocks-24-0.pddl, blocks-24-0
blocks-24-1, probblocks-24-1.pddl, blocks-24-1
blocks-25-0, probblocks-25-0.pddl, blocks-25-0
blocks-25-1, probblocks-25-1.pddl, blocks-25-1
blocks-26-0, probblocks-26-0.pddl, blocks-26-0
blocks-26-1, probblocks-26-1.pddl, blocks-26-1
blocks-27-0, probblocks-27-0.pddl, blocks-27-0
blocks-27-1, probblocks-27-1.pddl, blocks-27-1
blocks-28-0, probblocks-28-0.pddl, blocks-28-0
blocks-28-1, probblocks-28-1.pddl, blocks-28-1
blocks-29-0, probblocks-29-0.pddl, blocks-29-0
blocks-29-1, probblocks-29-1.pddl, blocks-29-1
blocks-30-0, probblocks-30-0.pddl, blocks-30-0
blocks-30-1, probblocks-30-1.pddl, blocks-30-1
blocks-31-0, probblocks-31-0.pddl, blocks-31-0
blocks-31-1, probblocks-31-1.pddl, blocks-31-1
blocks-32-0, probblocks-32-0.pddl, blocks-32-0
blocks-32-1, probblocks-32-1.pddl, blocks-32-1
blocks-33-0, probblocks-33-0.pddl, blocks-33-0
blocks-33-1, probblocks-33-1.pddl, blocks-33-1
blocks-34-0, probblocks-34-0.pddl, blocks-34-0
blocks-34-1, probblocks-34-1.pddl, blocks-34-1
blocks-35-0, probblocks-35-0.pddl, blocks-35-0
blocks-35-1, probblocks-35-1.pddl, blocks-35-1
blocks-36-0, probblocks-36-0.pddl, blocks-36-0
blocks-36-1, probblocks-36-1.pddl, blocks-36-1
blocks-37-0, probblocks-37-0.pddl, blocks-37-0
blocks-37-1, probblocks-37-1.pddl, blocks-37-1
blocks-38-0, probblocks-38-0.pddl, blocks-38-0
blocks-38-1, probblocks-38-1.pddl, blocks-38-1
blocks-39-0, probblocks-39-0.pddl, blocks-39-0
blocks-39-1, probblocks-39-1.pddl, blocks-39-1
blocks-40-0, probblocks-40-0.pddl, blocks-40-0
blocks-40-1, probblocks-40-1.pddl, blocks-40-1
blocks-41-0, probblocks-41-0.pddl, blocks-41-0
blocks-41-1, probblocks-41-1.pddl, blocks-41-1
blocks-42-0, probblocks-42-0.pddl, blocks-42-0
blocks-42-1, probblocks-42-1.pddl, blocks-42-1
blocks-43-0, probblocks-43-0.pddl, blocks-43-0
blocks-43-1, probblocks-43-1.pddl, blocks-43-1
blocks-44-0, probblocks-44-0.pddl, blocks-44-0
blocks-44-1, probblocks-44-1.pddl, blocks-44-1
blocks-45-0, probblocks-45-0.pddl, blocks-45-0
blocks-45-1, probblocks-45-1.pddl, blocks-45-1
blocks-46-0, probblocks-46-0.pddl, blocks-46-0
blocks-46-1, probblocks-46-1.pddl, blocks-46-1
blocks-47-0, probblocks-47-0.pddl, blocks-47-0
blocks-47-1, probblocks-47-1.pddl, blocks-47-1
blocks-48-0, probblocks-48-0.pddl, blocks-48-0
blocks-48-1, probblocks-48-1.pddl, blocks-48-1
blocks-49-0, probblocks-49-0.pddl, blocks-49-0
blocks-49-1, probblocks-49-1.pddl, blocks-49-1
blocks-50-0, probblocks-50-0.pddl, blocks-50-0
blocks-50-1, probblocks-50-1.pddl, blocks-50-1
BLOCKS-10-0, probBLOCKS-10-0.pddl, BLOCKS-10-0
BLOCKS-10-1, probBLOCKS-10-1.pddl, BLOCKS-10-1
BLOCKS-10-2, probBLOCKS-10-2.pddl, BLOCKS-10-2
BLOCKS-11-0, probBLOCKS-11-0.pddl, BLOCKS-11-0
BLOCKS-11-1, probBLOCKS-11-1.pddl, BLOCKS-11-1
BLOCKS-11-2, probBLOCKS-11-2.pddl, BLOCKS-11-2
BLOCKS-12-0, probBLOCKS-12-0.pddl, BLOCKS-12-0
BLOCKS-12-1, probBLOCKS-12-1.pddl, BLOCKS-12-1
BLOCKS-13-0, probBLOCKS-13-0.pddl, BLOCKS-13-0
BLOCKS-13-1, probBLOCKS-13-1.pddl, BLOCKS-13-1
BLOCKS-14-0, probBLOCKS-14-0.pddl, BLOCKS-14-0
BLOCKS-14-1, probBLOCKS-14-1.pddl, BLOCKS-14-1
BLOCKS-15-0, probBLOCKS-15-0.pddl, BLOCKS-15-0
BLOCKS-15-1, probBLOCKS-15-1.pddl, BLOCKS-15-1
BLOCKS-16-1, probBLOCKS-16-1.pddl, BLOCKS-16-1
BLOCKS-16-2, probBLOCKS-16-2.pddl, BLOCKS-16-2
BLOCKS-17-0, probBLOCKS-17-0.pddl, BLOCKS-17-0
BLOCKS-4-0, probBLOCKS-4-0.pddl, BLOCKS-4-0
BLOCKS-4-1, probBLOCKS-4-1.pddl, BLOCKS-4-1
BLOCKS-4-2, probBLOCKS-4-2.pddl, BLOCKS-4-2
BLOCKS-5-0, probBLOCKS-5-0.pddl, BLOCKS-5-0
BLOCKS-5-1, probBLOCKS-5-1.pddl, BLOCKS-5-1
BLOCKS-5-2, probBLOCKS-5-2.pddl, BLOCKS-5-2
BLOCKS-6-0, probBLOCKS-6-0.pddl, BLOCKS-6-0
BLOCKS-6-1, probBLOCKS-6-1.pddl, BLOCKS-6-1
BLOCKS-6-2, probBLOCKS-6-2.pddl, BLOCKS-6-2
BLOCKS-7-0, probBLOCKS-7-0.pddl, BLOCKS-7-0
BLOCKS-7-1, probBLOCKS-7-1.pddl, BLOCKS-7-1
BLOCKS-7-2, probBLOCKS-7-2.pddl, BLOCKS-7-2
BLOCKS-8-0, probBLOCKS-8-0.pddl, BLOCKS-8-0
BLOCKS-8-1, probBLOCKS-8-1.pddl, BLOCKS-8-1
BLOCKS-8-2, probBLOCKS-8-2.pddl, BLOCKS-8-2
BLOCKS-9-0, probBLOCKS-9-0.pddl, BLOCKS-9-0
BLOCKS-9-1, probBLOCKS-9-1.pddl, BLOCKS-9-1
BLOCKS-9-2, probBLOCKS-9-2.pddl, BLOCKS-9-2
blocks-17-1, probblocks-17-1.pddl, blocks-17-1
blocks-18-0, probblocks-18-0.pddl, blocks-18-0
blocks-18-1, probblocks-18-1.pddl, blocks-18-1
blocks-19-0, probblocks-19-0.pddl, blocks-19-0
blocks-19-1, probblocks-19-1.pddl, blocks-19-1
blocks-20-0, probblocks-20-0.pddl, blocks-20-0
blocks-20-1, probblocks-20-1.pddl, blocks-20-1
blocks-21-0, probblocks-21-0.pddl, blocks-21-0
blocks-21-1, probblocks-21-1.pddl, blocks-21-1
blocks-22-0, probblocks-22-0.pddl, blocks-22-0
blocks-22-1, probblocks-22-1.pddl, blocks-22-1
blocks-23-0, probblocks-23-0.pddl, blocks-23-0
blocks-23-1, probblocks-23-1.pddl, blocks-23-1
blocks-24-0, probblocks-24-0.pddl, blocks-24-0
blocks-24-1, probblocks-24-1.pddl, blocks-24-1
blocks-25-0, probblocks-25-0.pddl, blocks-25-0
blocks-25-1, probblocks-25-1.pddl, blocks-25-1
blocks-26-0, probblocks-26-0.pddl, blocks-26-0
blocks-26-1, probblocks-26-1.pddl, blocks-26-1
blocks-27-0, probblocks-27-0.pddl, blocks-27-0
blocks-27-1, probblocks-27-1.pddl, blocks-27-1
blocks-28-0, probblocks-28-0.pddl, blocks-28-0
blocks-28-1, probblocks-28-1.pddl, blocks-28-1
blocks-29-0, probblocks-29-0.pddl, blocks-29-0
blocks-29-1, probblocks-29-1.pddl, blocks-29-1
blocks-30-0, probblocks-30-0.pddl, blocks-30-0
blocks-30-1, probblocks-30-1.pddl, blocks-30-1
blocks-31-0, probblocks-31-0.pddl, blocks-31-0
blocks-31-1, probblocks-31-1.pddl, blocks-31-1
blocks-32-0, probblocks-32-0.pddl, blocks-32-0
blocks-32-1, probblocks-32-1.pddl, blocks-32-1
blocks-33-0, probblocks-33-0.pddl, blocks-33-0
blocks-33-1, probblocks-33-1.pddl, blocks-33-1
blocks-34-0, probblocks-34-0.pddl, blocks-34-0
blocks-34-1, probblocks-34-1.pddl, blocks-34-1
blocks-35-0, probblocks-35-0.pddl, blocks-35-0
blocks-35-1, probblocks-35-1.pddl, blocks-35-1
blocks-36-0, probblocks-36-0.pddl, blocks-36-0
blocks-36-1, probblocks-36-1.pddl, blocks-36-1
blocks-37-0, probblocks-37-0.pddl, blocks-37-0
blocks-37-1, probblocks-37-1.pddl, blocks-37-1
blocks-38-0, probblocks-38-0.pddl, blocks-38-0
blocks-38-1, probblocks-38-1.pddl, blocks-38-1
blocks-39-0, probblocks-39-0.pddl, blocks-39-0
blocks-39-1, probblocks-39-1.pddl, blocks-39-1
blocks-40-0, probblocks-40-0.pddl, blocks-40-0
blocks-40-1, probblocks-40-1.pddl, blocks-40-1
blocks-41-0, probblocks-41-0.pddl, blocks-41-0
blocks-41-1, probblocks-41-1.pddl, blocks-41-1
blocks-42-0, probblocks-42-0.pddl, blocks-42-0
blocks-42-1, probblocks-42-1.pddl, blocks-42-1
blocks-43-0, probblocks-43-0.pddl, blocks-43-0
blocks-43-1, probblocks-43-1.pddl, blocks-43-1
blocks-44-0, probblocks-44-0.pddl, blocks-44-0
blocks-44-1, probblocks-44-1.pddl, blocks-44-1
blocks-45-0, probblocks-45-0.pddl, blocks-45-0
blocks-45-1, probblocks-45-1.pddl, blocks-45-1
blocks-46-0, probblocks-46-0.pddl, blocks-46-0
blocks-46-1, probblocks-46-1.pddl, blocks-46-1
blocks-47-0, probblocks-47-0.pddl, blocks-47-0
blocks-47-1, probblocks-47-1.pddl, blocks-47-1
blocks-48-0, probblocks-48-0.pddl, blocks-48-0
blocks-48-1, probblocks-48-1.pddl, blocks-48-1
blocks-49-0, probblocks-49-0.pddl, blocks-49-0
blocks-49-1, probblocks-49-1.pddl, blocks-49-1
blocks-50-0, probblocks-50-0.pddl, blocks-50-0
blocks-50-1, probblocks-50-1.pddl, blocks-50-1
BLOCKS-10-0, probBLOCKS-10-0.pddl, BLOCKS-10-0
BLOCKS-10-1, probBLOCKS-10-1.pddl, BLOCKS-10-1
BLOCKS-10-2, probBLOCKS-10-2.pddl, BLOCKS-10-2
BLOCKS-11-0, probBLOCKS-11-0.pddl, BLOCKS-11-0
BLOCKS-11-1, probBLOCKS-11-1.pddl, BLOCKS-11-1
BLOCKS-11-2, probBLOCKS-11-2.pddl, BLOCKS-11-2
BLOCKS-12-0, probBLOCKS-12-0.pddl, BLOCKS-12-0
BLOCKS-12-1, probBLOCKS-12-1.pddl, BLOCKS-12-1
BLOCKS-13-0, probBLOCKS-13-0.pddl, BLOCKS-13-0
BLOCKS-13-1, probBLOCKS-13-1.pddl, BLOCKS-13-1
BLOCKS-14-0, probBLOCKS-14-0.pddl, BLOCKS-14-0
BLOCKS-14-1, probBLOCKS-14-1.pddl, BLOCKS-14-1
BLOCKS-15-0, probBLOCKS-15-0.pddl, BLOCKS-15-0
BLOCKS-15-1, probBLOCKS-15-1.pddl, BLOCKS-15-1
BLOCKS-16-1, probBLOCKS-16-1.pddl, BLOCKS-16-1
BLOCKS-16-2, probBLOCKS-16-2.pddl, BLOCKS-16-2
BLOCKS-17-0, probBLOCKS-17-0.pddl, BLOCKS-17-0
BLOCKS-4-0, probBLOCKS-4-0.pddl, BLOCKS-4-0
BLOCKS-4-1, probBLOCKS-4-1.pddl, BLOCKS-4-1
BLOCKS-4-2, probBLOCKS-4-2.pddl, BLOCKS-4-2
BLOCKS-5-0, probBLOCKS-5-0.pddl, BLOCKS-5-0
BLOCKS-5-1, probBLOCKS-5-1.pddl, BLOCKS-5-1
BLOCKS-5-2, probBLOCKS-5-2.pddl, BLOCKS-5-2
BLOCKS-6-0, probBLOCKS-6-0.pddl, BLOCKS-6-0
BLOCKS-6-1, probBLOCKS-6-1.pddl, BLOCKS-6-1
BLOCKS-6-2, probBLOCKS-6-2.pddl, BLOCKS-6-2
BLOCKS-7-0, probBLOCKS-7-0.pddl, BLOCKS-7-0
BLOCKS-7-1, probBLOCKS-7-1.pddl, BLOCKS-7-1
BLOCKS-7-2, probBLOCKS-7-2.pddl, BLOCKS-7-2
BLOCKS-8-0, probBLOCKS-8-0.pddl, BLOCKS-8-0
BLOCKS-8-1, probBLOCKS-8-1.pddl, BLOCKS-8-1
BLOCKS-8-2, probBLOCKS-8-2.pddl, BLOCKS-8-2
BLOCKS-9-0, probBLOCKS-9-0.pddl, BLOCKS-9-0
BLOCKS-9-1, probBLOCKS-9-1.pddl, BLOCKS-9-1
BLOCKS-9-2, probBLOCKS-9-2.pddl, BLOCKS-9-2
blocks-100-0, probblocks-100-0.pddl, blocks-100-0
blocks-100-1, probblocks-100-1.pddl, blocks-100-1
blocks-200-0, probblocks-200-0.pddl, blocks-200-0
blocks-200-1, probblocks-200-1.pddl, blocks-200-1
blocks-250-0, probblocks-250-0.pddl, blocks-250-0
blocks-250-1, probblocks-250-1.pddl, blocks-250-1
blocks-300-0, probblocks-300-0.pddl, blocks-300-0
blocks-300-1, probblocks-300-1.pddl, blocks-300-1
blocks-350-0, probblocks-350-0.pddl, blocks-350-0
blocks-350-1, probblocks-350-1.pddl, blocks-350-1
blocks-400-0, probblocks-400-0.pddl, blocks-400-0
blocks-400-1, probblocks-400-1.pddl, blocks-400-1
blocks-425-0, probblocks-425-0.pddl, blocks-425-0
blocks-425-1, probblocks-425-1.pddl, blocks-425-1
blocks-450-0, probblocks-450-0.pddl, blocks-450-0
blocks-450-1, probblocks-450-1.pddl, blocks-450-1
blocks-475-0, probblocks-475-0.pddl, blocks-475-0
blocks-475-1, probblocks-475-1.pddl, blocks-475-1
blocks-500-0, probblocks-500-0.pddl, blocks-500-0
blocks-500-1, probblocks-500-1.pddl, blocks-500-1
blocks-65-0, probblocks-65-0.pddl, blocks-65-0
blocks-65-1, probblocks-65-1.pddl, blocks-65-1
blocks-70-0, probblocks-70-0.pddl, blocks-70-0
blocks-70-1, probblocks-70-1.pddl, blocks-70-1
blocks-80-0, probblocks-80-0.pddl, blocks-80-0
blocks-80-1, probblocks-80-1.pddl, blocks-80-1
blocks-90-0, probblocks-90-0.pddl, blocks-90-0
blocks-90-1, probblocks-90-1.pddl, blocks-90-1
blocks-95-0, probblocks-95-0.pddl, blocks-95-0
blocks-95-1, probblocks-95-1.pddl, blocks-95-1
BLOCKS-10-0, probBLOCKS-10-0.pddl, BLOCKS-10-0
BLOCKS-10-1, probBLOCKS-10-1.pddl, BLOCKS-10-1
BLOCKS-10-2, probBLOCKS-10-2.pddl, BLOCKS-10-2
BLOCKS-11-0, probBLOCKS-11-0.pddl, BLOCKS-11-0
BLOCKS-11-1, probBLOCKS-11-1.pddl, BLOCKS-11-1
BLOCKS-11-2, probBLOCKS-11-2.pddl, BLOCKS-11-2
BLOCKS-12-0, probBLOCKS-12-0.pddl, BLOCKS-12-0
BLOCKS-12-1, probBLOCKS-12-1.pddl, BLOCKS-12-1
BLOCKS-13-0, probBLOCKS-13-0.pddl, BLOCKS-13-0
BLOCKS-13-1, probBLOCKS-13-1.pddl, BLOCKS-13-1
BLOCKS-14-0, probBLOCKS-14-0.pddl, BLOCKS-14-0
BLOCKS-14-1, probBLOCKS-14-1.pddl, BLOCKS-14-1
BLOCKS-15-0, probBLOCKS-15-0.pddl, BLOCKS-15-0
BLOCKS-15-1, probBLOCKS-15-1.pddl, BLOCKS-15-1
BLOCKS-16-1, probBLOCKS-16-1.pddl, BLOCKS-16-1
BLOCKS-16-2, probBLOCKS-16-2.pddl, BLOCKS-16-2
BLOCKS-17-0, probBLOCKS-17-0.pddl, BLOCKS-17-0
BLOCKS-17-1, probBLOCKS-17-1.pddl, BLOCKS-17-1
BLOCKS-18-0, probBLOCKS-18-0.pddl, BLOCKS-18-0
BLOCKS-18-1, probBLOCKS-18-1.pddl, BLOCKS-18-1
BLOCKS-19-0, probBLOCKS-19-0.pddl, BLOCKS-19-0
BLOCKS-19-1, probBLOCKS-19-1.pddl, BLOCKS-19-1
BLOCKS-20-0, probBLOCKS-20-0.pddl, BLOCKS-20-0
BLOCKS-20-1, probBLOCKS-20-1.pddl, BLOCKS-20-1
BLOCKS-25-0, probBLOCKS-25-0.pddl, BLOCKS-25-0
BLOCKS-25-1, probBLOCKS-25-1.pddl, BLOCKS-25-1
BLOCKS-28-0, probBLOCKS-28-0.pddl, BLOCKS-28-0
BLOCKS-28-1, probBLOCKS-28-1.pddl, BLOCKS-28-1
BLOCKS-30-0, probBLOCKS-30-0.pddl, BLOCKS-30-0
BLOCKS-30-1, probBLOCKS-30-1.pddl, BLOCKS-30-1
BLOCKS-35-0, probBLOCKS-35-0.pddl, BLOCKS-35-0
BLOCKS-35-1, probBLOCKS-35-1.pddl, BLOCKS-35-1
BLOCKS-4-0, probBLOCKS-4-0.pddl, BLOCKS-4-0
BLOCKS-40-0, probBLOCKS-40-0.pddl, BLOCKS-40-0
BLOCKS-40-1, probBLOCKS-40-1.pddl, BLOCKS-40-1
BLOCKS-4-1, probBLOCKS-4-1.pddl, BLOCKS-4-1
BLOCKS-4-2, probBLOCKS-4-2.pddl, BLOCKS-4-2
BLOCKS-45-0, probBLOCKS-45-0.pddl, BLOCKS-45-0
BLOCKS-45-1, probBLOCKS-45-1.pddl, BLOCKS-45-1
BLOCKS-5-0, probBLOCKS-5-0.pddl, BLOCKS-5-0
BLOCKS-50-0, probBLOCKS-50-0.pddl, BLOCKS-50-0
