,pkey,com,dom,gn,fap,pl,gl
69,IPC1998-movie-strips-movie-x-26,IPC1998,movie,strips-movie-x-26,2,7,2
70,IPC1998-movie-strips-movie-x-27,IPC1998,movie,strips-movie-x-27,2,7,2
71,IPC1998-movie-strips-movie-x-28,IPC1998,movie,strips-movie-x-28,2,7,2
72,IPC1998-movie-strips-movie-x-29,IPC1998,movie,strips-movie-x-29,2,7,2
73,IPC1998-movie-strips-movie-x-3,IPC1998,movie,strips-movie-x-3,2,7,2
74,IPC1998-movie-strips-movie-x-30,IPC1998,movie,strips-movie-x-30,2,7,2
75,IPC1998-movie-strips-movie-x-4,IPC1998,movie,strips-movie-x-4,2,7,2
76,IPC1998-movie-strips-movie-x-5,IPC1998,movie,strips-movie-x-5,2,7,2
77,IPC1998-movie-strips-movie-x-6,IPC1998,movie,strips-movie-x-6,2,7,2
78,IPC1998-movie-strips-movie-x-7,IPC1998,movie,strips-movie-x-7,2,7,2
79,IPC1998-movie-strips-movie-x-8,IPC1998,movie,strips-movie-x-8,2,7,2
80,IPC1998-movie-strips-movie-x-9,IPC1998,movie,strips-movie-x-9,2,7,2
81,IPC1998-mprime-strips-mprime-x-1,IPC1998,mprime,strips-mprime-x-1,5,9,5
82,IPC1998-mprime-strips-mprime-x-10,IPC1998,mprime,strips-mprime-x-10,0,0,0
83,IPC1998-mprime-strips-mprime-x-11,IPC1998,mprime,strips-mprime-x-11,7,8,7
84,IPC1998-mprime-strips-mprime-x-12,IPC1998,mprime,strips-mprime-x-12,5,10,5
85,IPC1998-mprime-strips-mprime-x-13,IPC1998,mprime,strips-mprime-x-13,8,16,8
86,IPC1998-mprime-strips-mprime-x-14,IPC1998,mprime,strips-mprime-x-14,0,0,0
87,IPC1998-mprime-strips-mprime-x-15,IPC1998,mprime,strips-mprime-x-15,6,9,6
88,IPC1998-mprime-strips-mprime-x-16,IPC1998,mprime,strips-mprime-x-16,4,11,5
89,IPC1998-mprime-strips-mprime-x-17,IPC1998,mprime,strips-mprime-x-17,4,4,4
90,IPC1998-mprime-strips-mprime-x-18,IPC1998,mprime,strips-mprime-x-18,0,0,0
91,IPC1998-mprime-strips-mprime-x-19,IPC1998,mprime,strips-mprime-x-19,6,8,6
92,IPC1998-mprime-strips-mprime-x-2,IPC1998,mprime,strips-mprime-x-2,5,9,5
93,IPC1998-mprime-strips-mprime-x-20,IPC1998,mprime,strips-mprime-x-20,0,0,0
94,IPC1998-mprime-strips-mprime-x-21,IPC1998,mprime,strips-mprime-x-21,0,0,0
95,IPC1998-mprime-strips-mprime-x-22,IPC1998,mprime,strips-mprime-x-22,8,13,8
96,IPC1998-mprime-strips-mprime-x-23,IPC1998,mprime,strips-mprime-x-23,8,15,8
97,IPC1998-mprime-strips-mprime-x-24,IPC1998,mprime,strips-mprime-x-24,6,18,6
98,IPC1998-mprime-strips-mprime-x-25,IPC1998,mprime,strips-mprime-x-25,4,4,4
99,IPC1998-mprime-strips-mprime-x-26,IPC1998,mprime,strips-mprime-x-26,5,8,5
100,IPC1998-mprime-strips-mprime-x-27,IPC1998,mprime,strips-mprime-x-27,4,8,4
101,IPC1998-mprime-strips-mprime-x-28,IPC1998,mprime,strips-mprime-x-28,6,11,7
102,IPC1998-mprime-strips-mprime-x-29,IPC1998,mprime,strips-mprime-x-29,4,5,4
103,IPC1998-mprime-strips-mprime-x-3,IPC1998,mprime,strips-mprime-x-3,4,4,4
104,IPC1998-mprime-strips-mprime-x-30,IPC1998,mprime,strips-mprime-x-30,6,20,6
105,IPC1998-mprime-strips-mprime-x-4,IPC1998,mprime,strips-mprime-x-4,7,9,7
106,IPC1998-mprime-strips-mprime-x-5,IPC1998,mprime,strips-mprime-x-5,0,0,0
107,IPC1998-mprime-strips-mprime-x-6,IPC1998,mprime,strips-mprime-x-6,8,0,9
108,IPC1998-mprime-strips-mprime-x-7,IPC1998,mprime,strips-mprime-x-7,0,0,0
109,IPC1998-mprime-strips-mprime-x-8,IPC1998,mprime,strips-mprime-x-8,5,7,5
110,IPC1998-mprime-strips-mprime-x-9,IPC1998,mprime,strips-mprime-x-9,5,8,5
111,IPC1998-mprime-strips-mprime-y-1,IPC1998,mprime,strips-mprime-y-1,4,5,4
112,IPC1998-mprime-strips-mprime-y-2,IPC1998,mprime,strips-mprime-y-2,7,7,7
113,IPC1998-mprime-strips-mprime-y-3,IPC1998,mprime,strips-mprime-y-3,10,20,10
114,IPC1998-mprime-strips-mprime-y-4,IPC1998,mprime,strips-mprime-y-4,4,5,4
115,IPC1998-mprime-strips-mprime-y-5,IPC1998,mprime,strips-mprime-y-5,4,6,4
116,IPC1998-mystery-strips-mysty-x-1,IPC1998,mystery,strips-mysty-x-1,5,5,5
117,IPC1998-mystery-strips-mysty-x-10,IPC1998,mystery,strips-mysty-x-10,0,0,0
118,IPC1998-mystery-strips-mysty-x-11,IPC1998,mystery,strips-mysty-x-11,7,7,7
119,IPC1998-mystery-strips-mysty-x-12,IPC1998,mystery,strips-mysty-x-12,0,0,0
120,IPC1998-mystery-strips-mysty-x-13,IPC1998,mystery,strips-mysty-x-13,8,16,8
121,IPC1998-mystery-strips-mysty-x-14,IPC1998,mystery,strips-mysty-x-14,0,0,0
122,IPC1998-mystery-strips-mysty-x-15,IPC1998,mystery,strips-mysty-x-15,6,6,6
123,IPC1998-mystery-strips-mysty-x-16,IPC1998,mystery,strips-mysty-x-16,0,0,0
124,IPC1998-mystery-strips-mysty-x-17,IPC1998,mystery,strips-mysty-x-17,4,4,4
125,IPC1998-mystery-strips-mysty-x-18,IPC1998,mystery,strips-mysty-x-18,0,0,0
126,IPC1998-mystery-strips-mysty-x-19,IPC1998,mystery,strips-mysty-x-19,6,8,6
127,IPC1998-mystery-strips-mysty-x-2,IPC1998,mystery,strips-mysty-x-2,5,9,5
128,IPC1998-mystery-strips-mysty-x-20,IPC1998,mystery,strips-mysty-x-20,7,18,7
129,IPC1998-mystery-strips-mysty-x-21,IPC1998,mystery,strips-mysty-x-21,0,0,0
130,IPC1998-mystery-strips-mysty-x-22,IPC1998,mystery,strips-mysty-x-22,0,0,0
131,IPC1998-mystery-strips-mysty-x-23,IPC1998,mystery,strips-mysty-x-23,0,0,0
132,IPC1998-mystery-strips-mysty-x-24,IPC1998,mystery,strips-mysty-x-24,0,0,0
133,IPC1998-mystery-strips-mysty-x-25,IPC1998,mystery,strips-mysty-x-25,4,4,4
134,IPC1998-mystery-strips-mysty-x-26,IPC1998,mystery,strips-mysty-x-26,6,8,6
135,IPC1998-mystery-strips-mysty-x-27,IPC1998,mystery,strips-mysty-x-27,4,7,4
136,IPC1998-mystery-strips-mysty-x-28,IPC1998,mystery,strips-mysty-x-28,6,7,7
137,IPC1998-mystery-strips-mysty-x-29,IPC1998,mystery,strips-mysty-x-29,4,4,4
138,IPC1998-mystery-strips-mysty-x-3,IPC1998,mystery,strips-mysty-x-3,4,4,4
139,IPC1998-mystery-strips-mysty-x-30,IPC1998,mystery,strips-mysty-x-30,6,12,6
140,IPC1998-mystery-strips-mysty-x-4,IPC1998,mystery,strips-mysty-x-4,0,0,0
141,IPC1998-mystery-strips-mysty-x-5,IPC1998,mystery,strips-mysty-x-5,0,0,0
142,IPC1998-mystery-strips-mysty-x-6,IPC1998,mystery,strips-mysty-x-6,9,17,9
143,IPC1998-mystery-strips-mysty-x-7,IPC1998,mystery,strips-mysty-x-7,0,0,0
144,IPC1998-mystery-strips-mysty-x-8,IPC1998,mystery,strips-mysty-x-8,0,0,0
145,IPC1998-mystery-strips-mysty-x-9,IPC1998,mystery,strips-mysty-x-9,5,8,5
146,IPC2000-blocks-BLOCKS-10-0,IPC2000,blocks,BLOCKS-10-0,20,34,34
147,IPC2000-blocks-BLOCKS-10-1,IPC2000,blocks,BLOCKS-10-1,16,32,32
148,IPC2000-blocks-BLOCKS-10-2,IPC2000,blocks,BLOCKS-10-2,20,34,34
149,IPC2000-blocks-BLOCKS-11-0,IPC2000,blocks,BLOCKS-11-0,16,32,32
150,IPC2000-blocks-BLOCKS-11-1,IPC2000,blocks,BLOCKS-11-1,9,0,29
151,IPC2000-blocks-BLOCKS-11-2,IPC2000,blocks,BLOCKS-11-2,18,34,34
152,IPC2000-blocks-BLOCKS-12-0,IPC2000,blocks,BLOCKS-12-0,20,34,34
153,IPC2000-blocks-BLOCKS-12-1,IPC2000,blocks,BLOCKS-12-1,22,34,34
154,IPC2000-blocks-BLOCKS-13-0,IPC2000,blocks,BLOCKS-13-0,22,0,42
155,IPC2000-blocks-BLOCKS-13-1,IPC2000,blocks,BLOCKS-13-1,24,0,43
156,IPC2000-blocks-BLOCKS-14-0,IPC2000,blocks,BLOCKS-14-0,20,0,37
157,IPC2000-blocks-BLOCKS-14-1,IPC2000,blocks,BLOCKS-14-1,12,0,31
158,IPC2000-blocks-BLOCKS-15-0,IPC2000,blocks,BLOCKS-15-0,14,0,32
159,IPC2000-blocks-BLOCKS-15-1,IPC2000,blocks,BLOCKS-15-1,28,0,48
160,IPC2000-blocks-BLOCKS-16-1,IPC2000,blocks,BLOCKS-16-1,26,0,46
161,IPC2000-blocks-BLOCKS-16-2,IPC2000,blocks,BLOCKS-16-2,30,0,47
162,IPC2000-blocks-BLOCKS-17-0,IPC2000,blocks,BLOCKS-17-0,14,0,33
163,IPC2000-blocks-BLOCKS-17-1,IPC2000,blocks,BLOCKS-17-1,26,0,46
164,IPC2000-blocks-BLOCKS-18-0,IPC2000,blocks,BLOCKS-18-0,24,0,41
165,IPC2000-blocks-BLOCKS-18-1,IPC2000,blocks,BLOCKS-18-1,30,0,47
166,IPC2000-blocks-BLOCKS-19-0,IPC2000,blocks,BLOCKS-19-0,36,0,53
167,IPC2000-blocks-BLOCKS-19-1,IPC2000,blocks,BLOCKS-19-1,30,0,47
168,IPC2000-blocks-BLOCKS-20-0,IPC2000,blocks,BLOCKS-20-0,34,0,49
169,IPC2000-blocks-BLOCKS-20-1,IPC2000,blocks,BLOCKS-20-1,38,0,53
170,IPC2000-blocks-BLOCKS-21-0,IPC2000,blocks,BLOCKS-21-0,42,0,58
171,IPC2000-blocks-BLOCKS-21-1,IPC2000,blocks,BLOCKS-21-1,40,0,54
172,IPC2000-blocks-BLOCKS-22-0,IPC2000,blocks,BLOCKS-22-0,24,0,40
173,IPC2000-blocks-BLOCKS-22-1,IPC2000,blocks,BLOCKS-22-1,30,0,45
174,IPC2000-blocks-BLOCKS-23-0,IPC2000,blocks,BLOCKS-23-0,32,0,47
175,IPC2000-blocks-BLOCKS-23-1,IPC2000,blocks,BLOCKS-23-1,26,0,40
176,IPC2000-blocks-BLOCKS-24-0,IPC2000,blocks,BLOCKS-24-0,20,0,35
177,IPC2000-blocks-BLOCKS-24-1,IPC2000,blocks,BLOCKS-24-1,30,0,43
178,IPC2000-blocks-BLOCKS-25-0,IPC2000,blocks,BLOCKS-25-0,32,0,47
179,IPC2000-blocks-BLOCKS-25-1,IPC2000,blocks,BLOCKS-25-1,42,0,57
180,IPC2000-blocks-BLOCKS-26-0,IPC2000,blocks,BLOCKS-26-0,26,0,41
181,IPC2000-blocks-BLOCKS-26-1,IPC2000,blocks,BLOCKS-26-1,36,0,49
182,IPC2000-blocks-BLOCKS-27-0,IPC2000,blocks,BLOCKS-27-0,18,0,32
183,IPC2000-blocks-BLOCKS-27-1,IPC2000,blocks,BLOCKS-27-1,44,0,59
184,IPC2000-blocks-BLOCKS-28-0,IPC2000,blocks,BLOCKS-28-0,26,0,39
185,IPC2000-blocks-BLOCKS-28-1,IPC2000,blocks,BLOCKS-28-1,30,0,44
186,IPC2000-blocks-BLOCKS-29-0,IPC2000,blocks,BLOCKS-29-0,24,0,37
187,IPC2000-blocks-BLOCKS-29-1,IPC2000,blocks,BLOCKS-29-1,58,0,71
188,IPC2000-blocks-BLOCKS-30-0,IPC2000,blocks,BLOCKS-30-0,20,0,33
189,IPC2000-blocks-BLOCKS-30-1,IPC2000,blocks,BLOCKS-30-1,32,0,45
190,IPC2000-blocks-BLOCKS-31-0,IPC2000,blocks,BLOCKS-31-0,40,0,53
191,IPC2000-blocks-BLOCKS-31-1,IPC2000,blocks,BLOCKS-31-1,42,0,55
192,IPC2000-blocks-BLOCKS-32-0,IPC2000,blocks,BLOCKS-32-0,24,0,36
193,IPC2000-blocks-BLOCKS-32-1,IPC2000,blocks,BLOCKS-32-1,58,0,58
194,IPC2000-blocks-BLOCKS-4-0,IPC2000,blocks,BLOCKS-4-0,4,6,6
195,IPC2000-blocks-BLOCKS-4-1,IPC2000,blocks,BLOCKS-4-1,10,10,10
196,IPC2000-blocks-BLOCKS-4-2,IPC2000,blocks,BLOCKS-4-2,6,6,6
197,IPC2000-blocks-BLOCKS-5-0,IPC2000,blocks,BLOCKS-5-0,10,12,12
198,IPC2000-blocks-BLOCKS-5-1,IPC2000,blocks,BLOCKS-5-1,8,10,10
199,IPC2000-blocks-BLOCKS-5-2,IPC2000,blocks,BLOCKS-5-2,12,16,16
200,IPC2000-blocks-BLOCKS-6-0,IPC2000,blocks,BLOCKS-6-0,9,12,12
201,IPC2000-blocks-BLOCKS-6-1,IPC2000,blocks,BLOCKS-6-1,6,10,10
202,IPC2000-blocks-BLOCKS-6-2,IPC2000,blocks,BLOCKS-6-2,14,20,20
203,IPC2000-blocks-BLOCKS-7-0,IPC2000,blocks,BLOCKS-7-0,16,20,20
204,IPC2000-blocks-BLOCKS-7-1,IPC2000,blocks,BLOCKS-7-1,12,22,22
205,IPC2000-blocks-BLOCKS-7-2,IPC2000,blocks,BLOCKS-7-2,12,20,20
206,IPC2000-blocks-BLOCKS-8-0,IPC2000,blocks,BLOCKS-8-0,9,18,18
207,IPC2000-blocks-BLOCKS-8-1,IPC2000,blocks,BLOCKS-8-1,10,20,20
208,IPC2000-blocks-BLOCKS-8-2,IPC2000,blocks,BLOCKS-8-2,10,16,16
209,IPC2000-blocks-BLOCKS-9-0,IPC2000,blocks,BLOCKS-9-0,18,30,30
210,IPC2000-blocks-BLOCKS-9-1,IPC2000,blocks,BLOCKS-9-1,20,28,28
211,IPC2000-blocks-BLOCKS-9-2,IPC2000,blocks,BLOCKS-9-2,18,26,26
212,IPC2000-elevator-mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,14
213,IPC2000-elevator-mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,14
214,IPC2000-elevator-mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
215,IPC2000-elevator-mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
216,IPC2000-elevator-mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,15,10
217,IPC2000-elevator-mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,15,10
218,IPC2000-elevator-mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
219,IPC2000-elevator-mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
220,IPC2000-elevator-mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,23,24
221,IPC2000-elevator-mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,23,24
222,IPC2000-elevator-mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,12
223,IPC2000-elevator-mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,12
224,IPC2000-elevator-mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,24,22
225,IPC2000-elevator-mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,24,22
226,IPC2000-elevator-mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
227,IPC2000-elevator-mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
228,IPC2000-elevator-mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,12
229,IPC2000-elevator-mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,12
230,IPC2000-elevator-mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,20
231,IPC2000-elevator-mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,20
232,IPC2000-elevator-mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,12
233,IPC2000-elevator-mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,12
234,IPC2000-elevator-mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,12
235,IPC2000-elevator-mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,12
236,IPC2000-elevator-mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,14
237,IPC2000-elevator-mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,14
238,IPC2000-elevator-mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,27
239,IPC2000-elevator-mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,27
240,IPC2000-elevator-mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,17
241,IPC2000-elevator-mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,17
242,IPC2000-elevator-mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,28
243,IPC2000-elevator-mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,28
244,IPC2000-elevator-mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,27
